Timestamp,"Throughout this course, how often have you done each of the following? [Describe the methods that you chose to solve a quantitative problem and why they were appropriate.]","Throughout this course, how often have you done each of the following? [Carried out calculations, either by hand or using software.]","Throughout this course, how often have you done each of the following? [Created a visual representation of numerical information, such as a graph, table, chart, or diagram.]","Throughout this course, how often have you done each of the following? [Described numerical information (numbers, graphs, statistics, etc.) by writing in words.]","Throughout this course, how often have you done each of the following? [Reached conclusions based on your own analysis of numerical information (numbers, graphs, statistics, etc.)]","Throughout this course, how often have you done each of the following? [Constructed a single, coherent argument using several conclusions that were each based on quantitative evidence.]","Throughout this course, how often have you done each of the following? [Decided when a solution or inference was reasonable or not reasonable in the context of a problem.]","Throughout this course, how often have you done each of the following? [Used quantitative reasoning to examine a real-world problem or issue (unemployment, climate change, public health, etc.)]",Describe how much this course has improved your general quantitative/numerical skills. ,Describe how much this course has improved your ability to apply your quantitative/numerical skills to real-world problems. ,How confident do you feel using numbers in your everyday life?,"Please give an example of a quantitative skill that you developed in this course that you feel will be important in the future (such as in a future class, workplace, or daily life).",How frequently do you... [Do calculations in your everyday life?],How frequently do you... [Encounter graphs and tables in your everyday life?],How frequently do you... [Encounter situations like those you have learned about in this course?],"Please give an example of a time when you used ""quantitative reasoning"" in your daily life."
4/29/24 14:28,Frequently,Frequently,Frequently,Frequently,Frequently,Infrequently,Frequently,Frequently,None,Moderate improvement,3,,Infrequently,Never,Never,
4/30/24 8:39,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,2,,Frequently,Sometimes,Sometimes,
4/30/24 8:39,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
4/30/24 8:42,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,None,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
4/30/24 8:42,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Infrequently,Sometimes,
4/30/24 8:43,Frequently,Infrequently,Never,Infrequently,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Infrequently,Infrequently,Never,
4/30/24 8:44,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Sometimes,
4/30/24 8:44,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Frequently,Sometimes,
4/30/24 8:44,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,4,,Frequently,Frequently,Frequently,
4/30/24 8:46,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Major improvement,Major improvement,3,,Frequently,Sometimes,Sometimes,
4/30/24 8:46,Frequently,Frequently,Frequently,Frequently,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Sometimes,
4/30/24 8:47,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Minor improvement,Moderate improvement,2,,Frequently,Infrequently,Infrequently,
4/30/24 8:47,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,None,Moderate improvement,3,,Sometimes,Sometimes,Frequently,
4/30/24 8:47,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Frequently,Sometimes,
4/30/24 8:50,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Sometimes,Sometimes,
4/30/24 9:07,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Infrequently,
4/30/24 11:29,Frequently,Frequently,Sometimes,Frequently,Frequently,Never,Sometimes,Frequently,Major improvement,Major improvement,3,,Frequently,Infrequently,Sometimes,
4/30/24 15:08,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Infrequently,Moderate improvement,Minor improvement,4,,Sometimes,Infrequently,Sometimes,
4/30/24 15:16,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Frequently,Sometimes,
4/30/24 16:03,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Major improvement,Major improvement,4,,Sometimes,Infrequently,Infrequently,
4/30/24 16:16,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,2,,Frequently,Frequently,Sometimes,
4/30/24 16:54,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Infrequently,Infrequently,Infrequently,
4/30/24 16:58,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Major improvement,Major improvement,3,,Frequently,Sometimes,Sometimes,
4/30/24 18:44,Sometimes,Frequently,Frequently,Frequently,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Never,Infrequently,
4/30/24 20:20,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Frequently,Sometimes,
5/1/24 12:27,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Infrequently,Infrequently,Infrequently,Moderate improvement,Minor improvement,3,,Frequently,Frequently,Infrequently,
5/1/24 13:06,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Major improvement,Moderate improvement,2,,Sometimes,Frequently,Frequently,
5/1/24 13:21,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Infrequently,Moderate improvement,Minor improvement,4,,Sometimes,Infrequently,Sometimes,
5/1/24 13:27,Sometimes,Never,Infrequently,Frequently,Infrequently,Never,Never,Sometimes,Minor improvement,Moderate improvement,1,,Sometimes,Sometimes,Infrequently,
5/1/24 15:37,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Frequently,Sometimes,
5/1/24 15:37,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,None,Moderate improvement,3,,Infrequently,Infrequently,Infrequently,
5/1/24 15:55,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,1,,Frequently,Sometimes,Sometimes,
5/1/24 16:05,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Frequently,
